Longitud,Latitud,Frecuencia,Amplitud,MSK,Lugar,Rrup [km],R [km],Rhyp [km],Rasp [km],Rasp max [km],Rasp pond slip [km],Period,Rp [km]
-71.28,-34.73,0.41673,2.651,7.5,Chepica,61.283430000447176,66.17915815601756,220.58320981211003,129.25655181425608,129.2565532042533,204.8731730711293,-1,110.25242040165466
-71.65,-34.8,4.28417,2.632,7.5,Lolol,48.453281200787956,54.513693050958125,190.38884737071902,95.24140290856475,95.2414039070599,173.85833210796392,-1,84.14541066059837
-71.23,-34.98,0.52,3.8,7.5,Curico,69.84351687670923,74.17652541042969,207.86038039746992,131.1004646334362,131.1004660884383,198.98391149426004,-1,122.33360285317048
-71.99,-35.24,5.73446,2.439,7.5,Gualleco,44.21557000067401,50.784330125242626,135.3711924974361,71.03095045456024,71.03095102183883,136.77525176871814,-1,77.64604277961115
-71.98,-35.32,7.63484,3.795,7.5,Batuco,46.961728075223974,53.19237245353907,130.86953235321306,76.0680325129381,76.06803305683542,137.30358807122292,-1,81.09457720406411
-73.03,-36.82,0.70012,9.321,7.5,Concepcion,34.88196130339291,42.904235226561525,96.65689527330143,54.94539910396454,210.7788436592936,150.6543278646283,-1,62.738366515221216
-73.1,-36.84,0.66678,10.27,7.5,SanPedrodelaPaz,33.311494227510636,41.637517814122944,98.31319560878983,49.08032158673589,214.07944710990836,150.41857791215176,-1,59.36446838486329
-71.84,-33.9,0.79,4.17,7.0,LaBoca,30.68945478333033,39.57101628954467,260.96685151400885,140.47018673408533,140.47018719646167,232.143469757366,-1,64.29598473436602
-71.87,-33.96,0.25003,7.494,7.0,Matanzas,32.1112935901499,40.68486129335195,253.8080171801929,133.45840331678681,133.4584037665385,225.06116042122653,-1,62.22687565423682
-71.73,-34.12,0.16,2.0,7.0,Litueche,36.54334653090191,44.26554323417434,244.74152824659825,127.19946176117266,127.19946241423811,217.13874997412643,-1,67.264329529231
-70.66,-34.19,3.01,2.57,7.0,Machali,88.42569124625626,91.89139902463677,302.52856621905937,202.22778877555615,202.2277907040376,281.4003587162136,-1,161.25461624843314
-71.66,-34.21,3.68405,4.706,7.0,LaEstrella,40.05018223181366,47.20213657148934,239.9022728454789,124.63911067639629,124.6391114455769,213.2956127353269,-1,71.8604139758447
-71.4,-34.3,3.1006,4.434,7.0,LasPataguas,50.3730557465116,56.226949003712896,246.3872150130253,137.26009396117226,137.26009507267088,222.36065858297533,-1,90.28989200092684
-71.17,-34.38,1.75033,2.099,7.0,Peumo,61.22771548661487,66.12794956826062,254.104893318043,151.20478518549936,151.20478659659506,232.6360453659393,-1,110.74394710636719
-70.86,-34.41,4.11747,2.877,7.0,Rengo,79.66734956801629,83.49208102887343,272.69629898064807,175.84456971520808,175.84457148986698,253.43134353154403,-1,141.2900363508886
