Year,Month,Day,Magnitude,Location,Longitude,Latitude,Intensity,Hypocenter_Lat,Hypocenter_Lon,Hypocenter_Depth_km,Vs30_estimated,NERHP_class,Rrup [km],R [km],Rhyp [km],Rasp [km],Rasp max [km],Rasp pond slip [km],Period,Rp [km]
1751,5.0,24.0,8.5,Los Angeles,-72.3554,-37.4752,7,-36.83,-73.03,35.49,-999.0,-999,58.08142085508388,61.757641730007194,99.88942064347462,85.02353443819798,85.02353474929191,85.02353443819798,0,82.7890933824163
1751,5.0,24.0,8.5,Manco,-72.7198,-36.766,8,-36.83,-73.03,35.49,-999.0,-999,42.31731470999967,47.236744042870995,45.56755601146097,49.916817263600336,49.91681734420162,49.916817263600336,0,62.16934576094094
1751,5.0,24.0,8.5,Melipilla,-71.2194,-33.6888,7,-36.83,-73.03,35.49,540.0,-999,160.55473048833886,161.92089533376995,387.0944648153435,399.6550049545766,399.6550056390316,399.6550049545766,0,253.38743537195043
1751,5.0,24.0,8.5,Nacimiento,-72.6779,-37.5041,7,-36.83,-73.03,35.49,-999.0,-999,47.04619720403154,51.51601241232845,88.51170871388359,73.54818348613523,73.54818356007368,73.54818348613523,0,69.84509964647525
1751,5.0,24.0,8.5,Nicolas Chavez,-71.3934,-35.5024,7,-36.83,-73.03,35.49,-999.0,-999,69.4461594174149,72.5487692613428,211.283577489609,219.03514134395002,219.03514226808838,219.03514134395002,0,103.32751150723335
1751,5.0,24.0,8.5,Nuñoa,-70.5956,-33.463,6,-36.83,-73.03,35.49,-999.0,-999,198.3854773854566,199.49273796547598,435.85491041369175,446.9728194570951,446.9728206031026,446.9728194570951,0,313.12568418917044
1751,5.0,24.0,8.5,Penco,-72.995,-36.7387,9,-36.83,-73.03,35.49,-999.0,-999,34.74874923875014,40.59594114149951,37.03992199631006,47.54177866618988,47.54178053755685,47.54177866618988,0,53.039510148875024
1751,5.0,24.0,8.5,Purema,,,8,-36.83,-73.03,35.49,-999.0,-999,,,,,,,0,
1751,5.0,24.0,8.5,Quillota,-71.2555,-32.8865,7,-36.83,-73.03,35.49,-999.0,-999,243.7510485164248,244.65307788042037,467.9289352385393,481.5569078401554,481.55690840569497,481.5569078401554,0,354.9420682671293
1751,5.0,24.0,8.5,Quiriquina,-73.0604,-36.6381,8,-36.83,-73.03,35.49,-999.0,-999,32.31523573618753,38.53348315675505,41.47792308856436,55.46455668739436,55.46455670616675,55.46455668739436,0,50.524517525321166
