Longitud,Latitud,Frecuencia,Amplitud,MSK,Lugar,Rhf,Rhf_max,Rhf_pond
-70.86,-34.41,4.11747,2.877,7.0,Rengo,104.65100613565421,104.65100715564887,219.1948537528427
-71.08,-34.44,0.49,4.08,7.0,SanVicenteTagua-tagua,86.01735553753869,86.01735630554766,202.47535310144073
-71.16,-34.87,2.49,1.97,7.0,Teno,83.78877646710684,83.78877709508812,178.49219086626687
-71.31,-34.93,1.25023,2.723,7.0,Rauco,76.27679699885083,76.27679743428554,166.89361209124905
-71.81,-34.98,2.86722,3.601,7.0,Hualane,58.88872453786258,58.88872454950357,138.126482846674
-71.28,-35.11,0.25003,2.212,7.0,Molina,89.54430194448383,89.54430235091996,165.4037448414731
-71.27,-35.28,3.54,4.33,7.0,Cumpeo,103.18522107963744,103.18522144091696,164.42789990041922
-71.81,-35.34,2.9339,4.572,7.0,Pencahue,92.30255292554675,92.3025529328442,134.87459385949106
-71.58,-35.55,2.13,4.36,7.0,Bobadilla,117.05445133465861,117.05445141424241,146.77178281247882
-72.27,-35.59,2.90056,3.654,7.0,Empedrado,66.00432126008599,122.5651621797771,120.48319789916147
-72.52,-35.73,1.91703,2.981,7.0,Chanco,44.65258633761858,144.17943289463736,117.56329205375043
-71.77,-36.03,0.38339,3.277,7.0,Retiro,98.24599099832615,164.89675042957649,146.25933334610465
-72.78,-36.13,6.80134,3.892,7.0,Cobquecura,42.92752765914122,192.91455831720168,126.82243991615319
-72.55,-36.28,2.91723,5.004,7.0,Quirihue,58.57001136625799,200.61231569730975,132.47583242130924
-72.4,-36.39,2.57,3.13,7.0,Ninhue,66.30932225391844,208.6437082703192,139.36009244725795
-71.96,-36.42,0.34,1.63,7.0,SanCarlos,90.18300509903533,206.88432210378303,153.35564647802153
-72.95,-36.62,2.68385,2.439,7.0,Tome,49.46399675839547,247.83856907940222,152.93741328312854
-72.29,-36.74,1.12,3.67,7.0,Bulnes,59.89388242569145,244.40182943394225,161.1667689948082
-73.0,-36.74,2.6005,3.156,7.0,Penco,49.52220389724534,261.6719690580534,161.37915587713488
-72.47,-36.74,1.4336,6.03,7.0,Quillon,50.3842559464506,247.31795824960724,157.99223010108884
-72.66,-36.82,2.30044,4.668,7.0,Florida,45.511951661999994,259.9338987683074,162.2158696670422
-73.16,-37.09,3.17,5.14,7.0,Lota,69.35688557151175,302.59642787939094,190.8540893146537
-71.17,-33.65,2.75053,3.979,6.5,Pomaire,129.87043922542009,129.87043964312164,257.67808125577284
-70.93,-33.67,1.8167,2.0,6.5,Talagante,140.9062467348769,140.9062474167406,268.2043629986558
-70.98,-33.68,2.61,1.62,6.5,ElMonte,137.22128621603653,137.22128684517605,264.6601264905768
-71.21,-33.69,5.69,2.96,6.5,Melipilla,124.41763039500536,124.41763078344408,252.14249354550265
-71.73,-33.94,0.88349,4.862,6.5,Rapel,83.43279715647763,83.43279718939122,207.13729846576592
-70.74,-34.16,4.00078,1.501,6.5,Rancagua,122.78288785143702,122.78288894720654,242.53810810640923
-71.61,-34.4,0.90016,4.391,6.5,Marchigue,51.57472425040731,51.5747244066354,173.0586772874227
-70.99,-34.58,0.11667,1.509,6.5,SanFernando,91.7379646895779,91.73796557179223,201.38762985758103
