Longitud,Latitud,Frecuencia,Amplitud,MSK,Lugar,Rasp,Rasp_max,Rasp_pond
-70.93,-33.67,1.8167,2.0,6.5,Talagante,201.14436284201017,201.144364172894,325.3661642273557
-70.98,-33.68,2.61,1.62,6.5,ElMonte,197.00399347230172,197.00399474800014,321.7852412403231
-71.21,-33.69,5.69,2.96,6.5,Melipilla,181.2256722720008,181.22567328183015,309.00245033414757
-71.73,-33.94,0.88349,4.862,6.5,Rapel,129.72052451837226,129.72052504057336,261.5466485477044
-70.74,-34.16,4.00078,1.501,6.5,Rancagua,185.30599538569544,185.30599714774507,296.94811536065015
-71.61,-34.4,0.90016,4.391,6.5,Marchigue,103.3164161269722,103.31641696993263,225.56499724429395
-70.99,-34.58,0.11667,1.509,6.5,SanFernando,148.28496219029728,148.2849637936912,251.17120610620293
-71.89,-34.66,9.51855,5.16,6.5,Paredones,68.81637343446955,68.8163740506807,189.30414535447625
-71.22,-34.67,3.73406,4.101,6.5,Nancagua,125.93111519782586,125.93111656434756,229.82527127080093
-71.45,-35.38,8.00158,3.204,6.5,Pelarco,117.63531303835761,117.63531400512038,180.1324167733801
-71.48,-35.55,0.16668,1.912,6.5,SanClemente,125.60769577650734,125.60769662606087,173.670199460459
-71.74,-35.6,0.17,1.61,6.5,SanJavier,112.21462522615349,112.214625769797,155.29786849622087
-71.74,-35.67,8.53502,4.565,6.5,VillaAlegre,117.93993941558661,117.93993993105016,154.05139853639332
-71.59,-35.85,0.35005,2.612,6.5,Linares,141.3280392147065,141.58135081355707,161.8267859592225
-71.68,-35.97,0.38339,3.874,6.5,Longavi,130.56415188065967,147.4962751148353,155.30307024236262
-72.7,-36.49,2.86722,7.247,6.5,Coelemu,55.86923036232729,182.04493842886052,109.29726541687245
-72.19,-36.5,6.44,8.99,6.5,SanNicolas,91.14889431847418,185.5222854344125,131.37090901657268
-72.1,-36.61,0.21,3.13,6.5,Chillan,103.15083769077116,198.9574311492575,139.73733137427593
-72.6,-36.64,5.73446,3.814,6.5,Nipas,72.09657403345375,198.10612232795026,117.64368148282517
-72.4,-37.03,1.1002,7.921,6.5,Cabrero,76.58865172015854,241.46210283127317,145.00468140026624
-73.28,-37.26,0.46674,5.052,6.5,Arauco,37.22511749664568,274.4898241781948,146.29710090265837
-72.35,-37.47,8.83508,2.509,6.5,LosAngeles,87.89137350178193,290.2787920972239,179.87224943574034
-72.7,-37.8,3.38399,9.355,6.5,Angol,90.9105299164338,326.5175012891988,201.58907624071995
-70.67,-34.04,0.46674,1.951,6.0,Codegua,197.04170519178723,197.04170698967886,310.4392477659789
-70.82,-34.28,1.35025,1.624,6.0,Requinoa,173.21082753151515,173.21082924391703,282.9905319446835
-71.31,-34.29,6.58463,5.444,6.0,LasCabras,132.682226657035,132.6822278051748,251.5923107755376
-71.05,-34.7,0.13,1.613,6.0,Chimbarongo,140.5297248317889,140.52972638705683,239.58822262710976
-71.12,-34.96,0.059,1.43,6.0,Romeral,133.17576692721252,133.1757684001536,220.41137968084212
-71.57,-35.75,0.33338,3.256,6.0,YerbasBuenas,134.46248958847968,134.4624902476452,164.13693915904665
-72.67,-36.43,0.86682,5.296,6.0,Trehuaco,53.84040964487004,175.27533103868663,108.52870804869978
-72.03,-36.8,0.35005,2.017,6.0,SanIgnacio,112.7014324505187,220.75105202203378,151.2457164881867
-72.23,-36.96,1.70032,4.396,6.0,GeneralCruz,91.65240478907964,235.13286746528146,148.7683329385919
-72.08,-36.98,5.30104,1.89,6.0,Pemuco,103.5319888415025,239.34844160003001,157.5914105664461
-72.44,-37.08,1.08353,7.055,6.0,MonteAguila,72.76161405788416,246.80510969872424,146.4839494561806
-72.55,-37.1,1.63364,6.005,6.0,Yumbel,64.06709160649046,248.81522184640733,143.49652191863274
-72.02,-37.12,4.05079,8.433,6.0,Yungay,107.10838938251844,255.5321665023177,169.07620057527197
-72.7,-37.27,3.63404,5.902,6.0,Laja,55.07469093878481,267.9441551777307,151.25955292947063
-73.35,-37.47,2.45047,4.494,6.0,Curanilahue,52.409246637399455,298.52379080226,167.21498248969937
-72.68,-37.5,3.21729,3.913,6.0,Nacimiento,67.84765743513414,293.2726284769463,172.20809139709047
-73.67,-37.6,2.83388,5.578,6.0,Lebu,75.87222344874249,320.32997227172126,189.22331656541633
-73.46,-37.62,2.80054,4.895,6.0,LosAlamos,68.39947201906315,317.04441073570223,184.69674447353435
-73.41,-37.63,2.75053,2.829,6.0,TresPinos,67.7424335950725,316.9872231078644,184.52366665001594
-72.58,-37.67,2.66718,3.272,5.5,Renaico,85.62604808647544,311.8619149624909,191.0379939920646
-73.4,-37.8,1.78367,4.4,5.5,Canete,83.5854097684968,335.0417777169267,201.88072742769438
-72.83,-37.98,4.06746,1.889,5.5,LosSauces,103.92617028692483,347.0786408162229,218.78504632242968
-73.23,-38.01,3.65071,4.626,5.5,Contulmo,102.87826942851792,354.7668121153823,221.93517080190688
-73.08,-38.02,0.11,1.98,5.5,Puren,104.05986406265502,353.80273174401646,222.1957119175919
