Longitud,Latitud,Frecuencia,Amplitud,MSK,Lugar,Rhf,Rhf_max,Rhf_pond
-70.99,-34.58,0.11667,1.509,6.5,SanFernando,70.37490446326234,82.88440153778167,147.2782721811497
-71.89,-34.66,9.51855,5.16,6.5,Paredones,37.77580384607141,49.996089528617,107.48801169463708
-71.22,-34.67,3.73406,4.101,6.5,Nancagua,61.4141345414979,68.94411546480484,130.9063276798932
-71.45,-35.38,8.00158,3.204,6.5,Pelarco,91.45251948750959,114.83932088326104,120.82492420305543
-71.48,-35.55,0.16668,1.912,6.5,SanClemente,96.14969267123887,131.49804677177764,124.49647781108062
-71.74,-35.6,0.17,1.61,6.5,SanJavier,74.98324663970354,134.42419789665897,117.07054942154106
-71.74,-35.67,8.53502,4.565,6.5,VillaAlegre,75.36047786452045,141.81664129198847,119.66272583802856
-71.59,-35.85,0.35005,2.612,6.5,Linares,88.34067906863947,161.6442394894223,132.5385304774171
-71.68,-35.97,0.38339,3.874,6.5,Longavi,78.68448154453476,173.98386544592336,135.7179876934075
-72.7,-36.49,2.86722,7.247,6.5,Coelemu,54.74610148953356,245.8713287999749,172.1695222585233
-72.19,-36.5,6.44,8.99,6.5,SanNicolas,58.45398893791061,234.7718000915981,165.56373836141344
-72.1,-36.61,0.21,3.13,6.5,Chillan,65.33199688811771,245.42332533871107,176.08470319014657
-72.6,-36.64,5.73446,3.814,6.5,Nipas,66.86748094653076,258.4008473621081,183.18046678401984
-72.4,-37.03,1.1002,7.921,6.5,Cabrero,92.9959345287562,295.28536050720766,218.9140930367178
-73.28,-37.26,0.46674,5.052,6.5,Arauco,139.40036889585974,343.646532182956,264.448380597807
-72.35,-37.47,8.83508,2.509,6.5,LosAngeles,135.58283850346623,342.06394491695943,264.89505008602805
-72.7,-37.8,3.38399,9.355,6.5,Angol,172.6198017075619,383.7660045810333,304.18813359900105
-70.67,-34.04,0.46674,1.951,6.0,Codegua,104.18339156918346,117.29430244932271,194.55877656063004
-70.82,-34.28,1.35025,1.624,6.0,Requinoa,83.92170012865081,97.29305647638857,171.13236222272897
-71.31,-34.29,6.58463,5.444,6.0,LasCabras,59.262816727735185,61.19496413669771,143.03325538248225
-71.05,-34.7,0.13,1.613,6.0,Chimbarongo,68.57522192109379,81.77072236662592,140.14539150679732
-71.12,-34.96,0.059,1.43,6.0,Romeral,71.68501472013718,91.23581399621196,132.60224703447133
-71.57,-35.75,0.33338,3.256,6.0,YerbasBuenas,90.03950802648407,151.201944680047,128.6464546811197
-72.67,-36.43,0.86682,5.296,6.0,Trehuaco,50.46124194987493,238.80198608320933,166.117156835379
-72.03,-36.8,0.35005,2.017,6.0,SanIgnacio,79.04364926537994,265.3657612670776,195.0068624916352
-72.23,-36.96,1.70032,4.396,6.0,GeneralCruz,87.35742025947694,285.0204404423009,210.66344077100032
-72.08,-36.98,5.30104,1.89,6.0,Pemuco,91.67472081662851,285.45216147561257,212.89181432020817
-72.44,-37.08,1.08353,7.055,6.0,MonteAguila,97.78125865456003,301.39182692958445,224.51598403309836
-72.55,-37.1,1.63364,6.005,6.0,Yumbel,100.8972492085995,305.7379859763796,228.0643000230639
-72.02,-37.12,4.05079,8.433,6.0,Yungay,105.37660959608186,300.2523926604364,227.6840887448669
-72.7,-37.27,3.63404,5.902,6.0,Laja,119.72012131162619,327.1932445694485,248.34494592465325
-73.35,-37.47,2.45047,4.494,6.0,Curanilahue,162.24579243233958,367.28670267761123,287.39868892800166
-72.68,-37.5,3.21729,3.913,6.0,Nacimiento,141.72481694144815,351.21754897106166,272.0337555742858
-73.67,-37.6,2.83388,5.578,6.0,Lebu,186.93631774541728,392.2843180592279,312.6216679993278
-73.46,-37.62,2.80054,4.895,6.0,LosAlamos,180.45232814116838,386.32711200950615,306.139160908372
-73.41,-37.63,2.75053,2.829,6.0,TresPinos,178.9303639732,385.5646544373947,305.2762951819004
-72.58,-37.67,2.66718,3.272,5.5,Renaico,157.51967269116656,367.4742936363931,288.5645218975985
-73.4,-37.8,1.78367,4.4,5.5,Canete,193.76723861098435,402.50948524440514,321.81061012771954
-72.83,-37.98,4.06746,1.889,5.5,LosSauces,193.58588662274352,405.76263137603945,325.5944513988462
-73.23,-38.01,3.65071,4.626,5.5,Contulmo,207.31511053234644,418.96095868667135,337.97168504451804
-73.08,-38.02,0.11,1.98,5.5,Puren,203.67913774182577,415.9337660893702,335.1254361990943
