Year,Month,Day,Magnitude,Location,Longitude,Latitude,Intensity,Period,Rp [km],Rrup [km],R [km]
1835,2.0,20.0,8.3,Pencahue,-71.8019,-35.3944,6.0,-1.0,249.83892383304735,95.8446556397647,97.64988045189115
1835,2.0,20.0,8.3,Penco,-72.995,-36.7387,8.0,-1.0,95.47337230585877,34.45782452209927,39.200035820893596
1835,2.0,20.0,8.3,Pichidegua,-71.2851,-34.3565,6.0,-1.0,378.953337218875,211.05668244493435,211.88257205873592
1835,2.0,20.0,8.3,Pilarco,-71.4438,-35.3869,6.0,-1.0,274.4441232442906,115.53905506124714,117.0409090105227
1835,2.0,20.0,8.3,Quirihue,-72.5459,-36.285,8.0,-1.0,126.37752818856733,43.40493675667589,47.25769431970405
1835,2.0,20.0,8.3,Quiriquina,-73.0604,-36.6381,8.0,-1.0,93.58944087716424,32.28977082228103,37.308583962929845
1835,2.0,20.0,8.3,Rancagua,-70.7377,-34.1711,6.0,-1.0,426.10657446476176,253.6467379084198,254.3343641530695
1835,2.0,20.0,8.3,Ranquil,-72.5952,-36.6562,8.0,-1.0,115.20351475949343,45.42032993440801,49.11524721422091
1835,2.0,20.0,8.3,Rastrojos,-71.0253,-34.4642,6.0,-1.0,382.6979493064834,212.8485538054665,213.66751740646524
1835,2.0,20.0,8.3,Rere,-72.7272,-37.135,8.0,-1.0,109.15245485328083,43.676623259980715,47.5073526620653
1835,2.0,20.0,8.3,San Carlos,-71.9597,-36.4284,7.0,-1.0,167.96535489655423,68.09153508625184,70.60990219484673
1835,2.0,20.0,8.3,San Fernando,-70.992,-34.5869,6.0,-1.0,373.34181362652294,203.8373977614953,204.69241769968326
1835,2.0,20.0,8.3,San Pedro-Navidad,-71.8299,-33.9554,6.0,-1.0,396.5354080763911,236.4909895399847,237.2283483717001
1835,2.0,20.0,8.3,San Vicente Bay,-73.1387,-36.7529,8.0,-1.0,91.05190264022663,30.91405310710981,36.12450438515054
1835,2.0,20.0,8.3,San Vicente de Taguatagua,-71.0806,-34.439,6.0,-1.0,381.95169175251215,212.4005628103849,213.22124711137917
1835,2.0,20.0,8.3,Santa Maria Island,-73.5136,-37.032,8.0,-1.0,86.88005490213422,23.786429565466992,30.25054328498047
1835,2.0,20.0,8.3,Santiago,-70.6505,-33.4382,6.0,-1.0,500.50165559016574,326.3160484966182,326.8508293457595
1835,2.0,20.0,8.3,Talca,-71.6485,-35.4265,7.0,-1.0,257.0664116534285,100.97781710172107,102.69284631459091
1835,2.0,20.0,8.3,Talcahuano,-73.1114,-36.7197,8.0,-1.0,91.80827692573135,31.34283310999305,36.492113187981204
1835,2.0,20.0,8.3,Tome ,-72.9578,-36.6143,8.0,-1.0,97.29238840796936,34.734241646542976,39.44323364436536
1835,2.0,20.0,8.3,Tubul,-73.4448,-37.2345,8.0,-1.0,88.63107893017282,25.842468228617882,31.892543042389697
1835,2.0,20.0,8.3,Valdivia,-73.2362,-39.8272,6.0,-1.0,238.75179920448113,100.3880638950677,102.11299873259892
1835,2.0,20.0,8.3,Valparaiso,-71.6031,-33.0473,6.0,-1.0,501.9848832112626,337.7371843703445,338.25390883768307
1835,2.0,20.0,8.3,Yumbel,-72.5639,-37.1046,8.0,-1.0,118.00031428694102,48.77986357121796,52.23768972294038
1835,2.0,20.0,8.3,Zuñiga,-71.1043,-34.3554,6.0,-1.0,388.58026070963405,218.96301411530274,219.75919249947617
1730,7.0,8.0,9.1,Penco,-72.995,-36.7387,6.0,-1.0,332.9457708222011,35.72218183834547,46.475454780251766
1730,7.0,8.0,9.1,Santiago,-70.6505,-33.4382,8.0,-1.0,231.25440265262154,69.89003936947854,75.95071576230647
1730,7.0,8.0,9.1,Valparaiso,-71.6031,-33.0473,8.0,-1.0,178.5655385364224,34.36083338293167,45.43743492439906
1730,7.0,8.0,9.1,Petorca,-70.92592,-32.252383,8.0,-1.0,212.7617726838424,58.134005683299975,65.29514712844562
1730,7.0,8.0,9.1,Tiltil,-70.928513,-33.084949,8.0,-1.0,210.683848104942,57.766424898279446,64.96809576452097
1730,7.0,8.0,9.1,Illapel,-71.169,-31.6306,8.0,-1.0,204.14101402127173,48.07756884430714,56.5273937814092
1730,7.0,8.0,9.1,Pucauquen,-71.626736,-33.637556,8.0,-1.0,179.73929957491313,35.85171357700035,46.57508978141298
1730,7.0,8.0,9.1,Alcantara,-72.0395,-34.8504,7.0,-1.0,207.9505219570062,36.561476726316414,47.12361618284811
1730,7.0,8.0,9.1,Malloa,-70.9436,-34.4421,7.0,-1.0,240.9680787960784,69.02893642644823,75.15908252437652
1730,7.0,8.0,9.1,El Monte,-70.9889,-33.6804,7.0,-1.0,212.28632646935978,59.35051507108166,66.38054881471001
1730,7.0,8.0,9.1,Santa Rosa,-70.599605,-32.836624,7.0,-1.0,231.11937401056136,69.93333056569317,75.99055431926999
1730,7.0,8.0,9.1,Quillota,-71.2555,-32.8865,8.0,-1.0,193.64229745025867,44.983276553809475,53.920207633649866
1730,7.0,8.0,9.1,Chillán,-72.1039,-36.6083,6.0,-1.0,341.23257250582543,61.66534567473159,68.45807825905973
1730,7.0,8.0,9.1,Unigue,-72.457512,-35.876822,7.0,-1.0,261.8628265663961,42.00622628243689,51.46276972949182
1730,7.0,8.0,9.1,Coquimbo,-71.3382,-29.9598,8.0,-1.0,216.2943632883316,37.19413626653077,47.61614636184523
1730,7.0,8.0,9.1,Copiapo,-70.3324,-27.3676,6.0,-1.0,436.8947389225693,104.87776644675088,109.01027252786149
1730,7.0,8.0,9.1,Cauquenes,-72.3283,-35.9663,6.0,-1.0,272.2801545257003,45.82778627544275,54.626729873268694
1730,7.0,8.0,9.1,La Serena,-71.2559,-29.9068,8.0,-1.0,219.70459507798196,40.11968361643956,49.93478382072577
1730,7.0,8.0,9.1,Guaquen,-71.40285,-32.330447,8.0,-1.0,190.77421931396458,39.302535059982894,49.28065425580907
1730,7.0,8.0,9.1,Recolecciones,-70.64323,-33.40148,7.0,-1.0,231.32016211375162,69.89681126500659,75.95694732383181
1730,7.0,8.0,9.1,Huerta de Maule,-71.949618,-35.662871,7.0,-1.0,262.765270339323,53.062942780257735,60.824086661784854
1730,7.0,8.0,9.1,Mendoza,-68.8347,-32.9106,6.0,-1.0,368.32625250774163,186.93937935550213,189.28873494098835
1730,7.0,8.0,9.1,Higuerillas,-71.194985,-30.603554,7.0,-1.0,211.47209539096409,45.50694975048511,54.35785221412436
1730,7.0,8.0,9.1,Curimon,-70.6874,-32.7843,7.0,-1.0,225.34690301187317,67.23391759482797,73.51389866472547
1730,7.0,8.0,9.1,San Felipe,-70.7277,-32.7516,7.0,-1.0,222.81110449512587,66.60991066600931,72.9436345452648
1730,7.0,8.0,9.1,Curico,-71.2445,-34.9834,7.0,-1.0,252.20792255938161,66.54672619724225,72.88594095784272
1730,7.0,8.0,9.1,Colmo,-71.439366,-32.918525,8.0,-1.0,185.44375988176077,38.452947229532484,48.60578949442769
1730,7.0,8.0,9.1,Bucalemu,-71.5925,-33.7767,8.0,-1.0,183.11289235591394,37.539497130629215,47.88640168732588
1730,7.0,8.0,9.1,Renca,-70.727641,-33.40679,7.0,-1.0,225.4959879360368,66.86501834237194,73.17666499414375
1906,8.0,16.0,8.2,La Serena,-71.2489,-29.9045,5.0,-1.0,420.00093973210346,196.75045509136092,197.5392870937985
1906,8.0,16.0,8.2,Coquimbo,-71.3395,-29.9533,5.0,-1.0,414.8275001286231,190.64566704425764,191.45965300715045
1906,8.0,16.0,8.2,Tongoy,-71.4989,-30.2547,5.0,-1.0,381.1703280896755,156.68148073820788,157.6709065528131
1906,8.0,16.0,8.2,Ovalle,-71.199,-30.6011,6.0,-1.0,338.15282345484275,123.74594955368497,124.99635353805989
1906,8.0,16.0,8.2,Combarbalá,-71.003,-31.1786,6.0,-1.0,270.70356344871976,74.6621490082245,76.7167834400976
1906,8.0,16.0,8.2,Illapel,-71.1697,-31.6335,7.0,-1.0,220.5695357629286,48.20303144492606,51.32797100362574
1906,8.0,16.0,8.2,Petorca,-70.9348,-32.2523,8.0,-1.0,179.3784547570413,57.4804881650347,60.12516017907319
1906,8.0,16.0,8.2,Cabildo,-71.0717,-32.4313,8.0,-1.0,168.39966956709395,51.58445594145264,54.515910169822746
1906,8.0,16.0,8.2,La Ligua,-71.2304,-32.4507,8.0,-1.0,165.05296019923324,45.067391323284696,48.395228355227246
1906,8.0,16.0,8.2,San Felipe,-70.7258,-32.7498,7.0,-1.0,166.26391187547765,65.0294000212594,67.37841816185274
1906,8.0,16.0,8.2,Los Andes,-70.5977,-32.833,7.0,-1.0,168.5323899625716,70.52920291814263,72.70073473588181
1906,8.0,16.0,8.2,Llay-Llay,-70.9562,-32.8404,8.0,-1.0,157.6477407750246,56.17916754964851,58.882316814473214
1906,8.0,16.0,8.2,Villa Alegre,-70.6618,-32.8577,7.0,-1.0,165.87800586782507,67.62320478084216,69.88509277163641
1906,8.0,16.0,8.2,Quillota,-71.2488,-32.8834,8.0,-1.0,150.42483684823628,44.93559479188117,48.27251853973079
1906,8.0,16.0,8.2,Limache,-71.2608,-33.0133,9.0,-1.0,147.42023092439507,44.41638067648019,47.78957249512195
1906,8.0,16.0,8.2,Viña del Mar,-71.5494,-33.0169,8.0,-1.0,144.0327276199195,34.06814811398866,38.36231331378732
1906,8.0,16.0,8.2,Valparaíso,-71.608,-33.047,8.0,-1.0,143.19544127464476,33.12434844694134,37.52666820946005
1906,8.0,16.0,8.2,Quilpué,-71.4425,-33.0475,8.0,-1.0,144.21831979735688,38.454904913888065,42.306123419721246
1906,8.0,16.0,8.2,Tiltil,-70.9292,-33.0831,7.5,-1.0,153.97515889017106,57.778164446054355,60.40980593929941
1906,8.0,16.0,8.2,Polpaico,-70.8879,-33.168,7.5,-1.0,154.2038062234683,59.05509637635847,61.63223811358388
1906,8.0,16.0,8.2,Colina,-70.6747,-33.2044,7.5,-1.0,160.838450269108,67.7165959450413,69.97546522355174
1906,8.0,16.0,8.2,Casablanca,-71.4031,-33.3171,9.0,-1.0,140.96500515307986,40.66964367912982,44.328865131603564
