Longitud,Latitud,Frecuencia,Amplitud,MSK,Lugar,Rhf,Rhf_max,Rhf_pond
-71.99,-35.24,5.73446,2.439,7.5,Gualleco,56.27509115976713,90.63562608621619,86.22145982803727
-71.98,-35.32,7.63484,3.795,7.5,Batuco,62.982722764054216,98.67427014237519,90.83327296537111
-73.03,-36.82,0.70012,9.321,7.5,Concepcion,80.920412878771,279.5236624499992,225.3285655288624
-73.1,-36.84,0.66678,10.27,7.5,SanPedrodelaPaz,84.59288965919853,283.92747390066063,229.63965042782192
-71.84,-33.9,0.79,4.17,7.0,LaBoca,76.60198536840306,76.60198747498016,128.89896520892503
-71.87,-33.96,0.25003,7.494,7.0,Matanzas,70.7341871323268,70.73418770145389,122.44442905233056
-71.73,-34.12,0.16,2.0,7.0,Litueche,58.56058338068195,58.56058343085737,110.67138251354929
-70.66,-34.19,3.01,2.57,7.0,Machali,117.83007724716732,124.92754675132403,171.27833263077702
-71.66,-34.21,3.68405,4.706,7.0,LaEstrella,53.853711259766506,54.129589314378386,105.58646499093415
-71.4,-34.3,3.1006,4.434,7.0,LasPataguas,59.53511525703537,63.35233843621116,112.73150221110959
-71.17,-34.38,1.75033,2.099,7.0,Peumo,72.3127404843489,78.0130640943355,123.95991941921712
-70.86,-34.41,4.11747,2.877,7.0,Rengo,96.2283088974198,103.14974896719205,146.1601055682264
-71.08,-34.44,0.49,4.08,7.0,SanVicenteTagua-tagua,78.22637770679593,84.42380375905213,128.10115139997407
-71.16,-34.87,2.49,1.97,7.0,Teno,82.60576185278396,87.69655423368937,115.34681643617212
-71.31,-34.93,1.25023,2.723,7.0,Rauco,76.08799615178836,81.2654585964151,105.33210478779402
-71.81,-34.98,2.86722,3.601,7.0,Hualane,52.0232961037082,65.65850158182884,79.28145498932373
-71.28,-35.11,0.25003,2.212,7.0,Molina,89.14862497805369,95.94572193048845,111.56917970114459
-71.27,-35.28,3.54,4.33,7.0,Cumpeo,102.64038414760014,110.50666907321856,118.41912704287373
-71.81,-35.34,2.9339,4.572,7.0,Pencahue,72.95533595566414,100.79398979862027,95.93464069249583
-71.58,-35.55,2.13,4.36,7.0,Bobadilla,102.18272327794807,125.81687452834406,116.65496345567166
-72.27,-35.59,2.90056,3.654,7.0,Empedrado,75.46364839173735,131.0354533254066,105.87925357602784
-72.52,-35.73,1.91703,2.981,7.0,Chanco,59.25930223329086,152.39080741043128,118.07611702769333
-71.77,-36.03,0.38339,3.277,7.0,Retiro,75.27058998304256,174.24532317606185,144.3613168368781
-72.78,-36.13,6.80134,3.892,7.0,Cobquecura,38.1273483054535,201.28208651469384,153.16515213445405
-72.55,-36.28,2.91723,5.004,7.0,Quirihue,44.42900787735466,209.5124374951869,160.39480633729204
-72.4,-36.39,2.57,3.13,7.0,Ninhue,55.90739545487704,217.80531528026938,169.14496013538073
-71.96,-36.42,0.34,1.63,7.0,SanCarlos,72.16927153874433,216.36946514399318,174.53049674810464
-72.95,-36.62,2.68385,2.439,7.0,Tome,61.18215114357046,256.5025146071325,203.02293661189182
-72.29,-36.74,1.12,3.67,7.0,Bulnes,84.08397386447422,253.81878783611825,204.3027567997086
-73.0,-36.74,2.6005,3.156,7.0,Penco,72.81582395023537,270.3767479356122,216.42205934652958
-72.47,-36.74,1.4336,6.03,7.0,Quillon,76.52182433967734,256.5964469961704,205.21058370172472
-72.66,-36.82,2.30044,4.668,7.0,Florida,79.25215719011894,269.0760198795584,216.10761400516304
-73.16,-37.09,3.17,5.14,7.0,Lota,110.36664095481125,311.382075672802,256.61396383005473
-71.17,-33.65,2.75053,3.979,6.5,Pomaire,118.19715717279175,121.80882493696099,176.72437175367318
-70.93,-33.67,1.8167,2.0,6.5,Talagante,128.9290186552837,133.78368772862464,187.83328940689012
-70.98,-33.68,2.61,1.62,6.5,ElMonte,125.2968164914446,129.95895554798912,184.15561110622116
-71.21,-33.69,5.69,2.96,6.5,Melipilla,112.85608018165527,116.33852855772263,171.18687226263708
-71.73,-33.94,0.88349,4.862,6.5,Rapel,74.2412135452942,74.24121358520955,127.4177285538973
-70.74,-34.16,4.00078,1.501,6.5,Rancagua,112.41578698613576,119.27069282853992,166.7304365018102
-71.61,-34.4,0.90016,4.391,6.5,Marchigue,46.1234575669979,47.33798775317279,94.76762938451265
-70.99,-34.58,0.11667,1.509,6.5,SanFernando,85.4800192575308,92.00188475910203,130.81469113033594
