"","MSK64","Rhyp","Rp","M","Rasp","Rasp_max","Rasp_pond","EVENT","residuals_Rhyp","residuals_Rasp","residuals_Rasp_max","residuals_Rasp_pond"
"19",7.5,149.066424756617,70.5143624284522,7.9,85.0888581594398,85.0888586681544,130.959887983768,"1985",0.447728611832606,0.231276567533751,0.0546239937252864,0.281787425670645
"20",8,141.265968537042,58.313635429845,7.9,70.8911529610745,70.8911532179879,117.950553554653,"1985",0.914590802140127,0.6157965128577,0.402062113677813,0.66348071511505
"21",7.5,165.071374195308,102.857808672215,7.9,117.209449778986,117.209450923081,158.60698143497,"1985",0.510607531233622,0.433874700519548,0.322278456788242,0.498371749830662
"22",7.5,145.503509406152,70.1870525122962,7.9,82.4159587265991,82.4159592467257,127.972062522856,"1985",0.432813276396987,0.211086106462396,0.0279501699476183,0.255690439285006
"23",7,167.894694243215,109.014925702638,7.9,122.765546832079,122.765548084087,163.275422374477,"1985",0.0210635246428588,-0.036827466332392,-0.139015876649058,0.0311742230083931
"24",7.5,165.776521108491,106.021452839831,7.9,119.71340836533,119.713409570447,160.51338433818,"1985",0.513235660053686,0.44724651681886,0.33994409994345,0.511882107221833
"25",7,164.000439392829,103.33165246224,7.9,116.997393012048,116.997394173333,158.089591468758,"1985",0.0065945360456201,-0.067270830166537,-0.179234915347493,-0.00532292758905673
"26",7.5,153.301423092231,86.4568050250361,7.9,99.3296829280805,99.3296837899291,142.480405703789,"1985",0.465000538863761,0.329169215712497,0.183950971952171,0.377125890312871
"27",7.5,152.746248409125,86.8805190035152,7.9,99.3302427641143,99.330243639035,142.298060484055,"1985",0.462763694290109,0.329172781082715,0.183955682309072,0.375677822844797
"28",7,167.521238279109,110.816501762157,7.9,123.816609557061,123.816610848066,163.825902470559,"1985",0.0196905875166129,-0.0314345501414959,-0.131891239872965,0.0349801568007555
"29",7.5,150.036948207878,85.1759183416985,7.9,96.5401457417781,96.5401465939015,139.475635190663,"1985",0.451729726572287,0.311149496085692,0.160144936685104,0.35302418078091
"30",7,163.033401009578,106.211272236775,7.9,118.545864991599,118.545866218625,158.763057478024,"1985",0.00294828100987399,-0.0589533268582327,-0.1682465765368,-0.000516078424457334
"31",7,133.236428230035,52.4509294929666,7.9,60.4940773172309,60.4940774667245,107.634017192972,"1985",-0.121488922302021,-0.484532775208368,-0.730483933065557,-0.440016596041716
"32",7,141.01569146168,73.3133477894296,7.9,81.9950111589403,81.995011780475,126.338058222724,"1985",-0.086502482585761,-0.292153201322011,-0.476329311545248,-0.258840611785629
"33",7,167.837751769844,115.043768340821,7.9,126.879193015848,126.879194388562,165.918418762456,"1985",0.0208543843194775,-0.015977859013045,-0.111471247243665,0.0493317083207989
"34",7,150.127169270281,88.5666300354318,7.9,99.1985499274723,99.1985508562553,141.329707218188,"1985",-0.0478996405564853,-0.171666471656061,-0.317153062580593,-0.132043438701293
"35",7.5,163.212308208922,109.072894936617,7.9,120.663718554471,120.663719838146,160.205838259364,"1985",0.503624485126645,0.452248342602743,0.346552063480861,0.509713470345936
"36",6.5,164.023193992309,113.353191727674,7.9,124.089737940195,124.089739303206,162.709082201404,"1985",-0.493319926007932,-0.530040644373072,-0.630049736279291,-0.472754779906413
