"","MSK64","Rhyp","Rasp","Rasp_max","Rasp_pond","Rhf","Rhf_max","Rhf_pond","f0","residuals_Rasp_max","residuals_Rhf_max","residuals_Rhf","residuals_Rhf_pond","logf0_1","logf0_5","residuals_Rasp_max_f0","residuals_Rhf_max_f0","residuals_Rhf_f0","residuals_Rhf_pond_f0"
"24",7,260.966851514009,140.470186734085,140.470187196462,232.143469757366,76.6019853684031,76.6019874749802,128.898965208925,0.79,0.07070348995168,-0.130687244105488,0.114774555870655,0.0279048872022287,-0.102372908709559,0,-0.0171538061159025,-0.207793744745784,0.0478771773715519,-0.0616819600627539
"25",7,253.808017180193,133.458403316787,133.458403766539,225.061160421227,70.7341871323268,70.7341877014539,122.444429052331,0.25003,0.0126071183316888,-0.175588199627958,0.0279572412319344,-0.0260189318673736,-0.602007879116804,0,0.218003289797743,0.0591483743092571,0.16805592722979,0.222900238413648
"26",7,244.741528246598,127.199461761173,127.199462414238,217.138749974126,58.5605833806819,58.5605834308574,110.671382513549,0.16,-0.0418903762219033,-0.281999175728033,-0.177791544938199,-0.132133339388955,-0.795880017344075,0,0.275376209236991,0.0691445922277872,0.0386479539104338,0.241930346886704
"27",7,302.528566219059,202.227788775556,202.227790704038,281.400358716214,117.830077247167,124.927546751324,171.278332630777,3.01,0.484141816150862,0.144886148277551,0.58388549882153,0.326288460785765,0,0,0.360324782806156,0.0176434419547599,0.485013585290491,0.188272328481198
"28",7,239.902272845479,124.639110676396,124.639111445577,213.295612735327,53.8537112597665,54.1295893143784,105.586464990934,3.68405,-0.0649607810199317,-0.326329306704296,-0.2690715463946,-0.181505220872967,0,0,-0.221771110157783,-0.477911743746971,-0.387670311942129,-0.356508290018562
"29",7,246.387215013025,137.260093961172,137.260095072671,222.360658582975,59.5351152570354,63.3523384362112,112.73150221111,3.1006,0.0444747998329532,-0.237686438740318,-0.159811837632103,-0.11277341869632,0,0,-0.105759999507775,-0.384690198420714,-0.275883687998838,-0.282770165554144
"30",7,254.104893318043,151.204785185499,151.204786596595,232.636045365939,72.3127404843489,78.0130640943355,123.959919419217,1.75033,0.154253377869966,-0.120403037263776,0.0520013758035682,-0.0131068023484444,0,0,0.010614717603407,-0.261348747744659,-0.0591717426281673,-0.175843981044695
"31",7,272.696298980648,175.844569715208,175.844571489867,253.431343531544,96.2283088974198,103.149748967192,146.160105568226,4.11747,0.325534829182442,0.0369624236338825,0.363263576222421,0.15982231413617,0,0,0.192187760352799,-0.0958548757298249,0.259289206426889,0.00968103519294149
"32",7,255.437854743948,156.000509548469,156.000511083845,235.413192416071,78.2263777067959,84.4238037590521,128.101151399974,0.49,0.189679515671395,-0.0759082549817771,0.137634077373099,0.0213877448249577,-0.309803919971486,0,0.232168851338227,-0.0197560040979015,0.15803653052121,0.0734927460166777
"33",7,219.910367166701,137.810435324013,137.810436856747,208.245535181731,82.605761852784,87.6965542336894,115.346816436172,2.49,0.0490147595595894,-0.0544796983385583,0.196975555819687,-0.088699516373319,0,0,-0.100947252446092,-0.192020265162476,0.0891553426853869,-0.256942755976328
"34",7,204.957575738071,123.960673555624,123.960674928598,194.34841220244,76.0879961517884,81.2654585964151,105.332104787794,1.25023,-0.071153374107249,-0.097390405428773,0.107440302732227,-0.18403697858265,0,0,-0.228335790458872,-0.237147442541459,-0.00245064620034296,-0.359224457195883
